Hex	Decimal	Name
U+00041B	1051	CYRILLIC CAPITAL LETTER EL
U+00041C	1052	CYRILLIC CAPITAL LETTER EM
U+00041D	1053	CYRILLIC CAPITAL LETTER EN
U+00041E	1054	CYRILLIC CAPITAL LETTER O
U+00041F	1055	CYRILLIC CAPITAL LETTER PE
U+000420	1056	CYRILLIC CAPITAL LETTER ER
U+000421	1057	CYRILLIC CAPITAL LETTER ES
U+000422	1058	CYRILLIC CAPITAL LETTER TE
U+000423	1059	CYRILLIC CAPITAL LETTER U
U+000424	1060	CYRILLIC CAPITAL LETTER EF
U+000425	1061	CYRILLIC CAPITAL LETTER HA
U+000426	1062	CYRILLIC CAPITAL LETTER TSE
U+000427	1063	CYRILLIC CAPITAL LETTER CHE
U+000428	1064	CYRILLIC CAPITAL LETTER SHA
U+000429	1065	CYRILLIC CAPITAL LETTER SHCHA
U+00042A	1066	CYRILLIC CAPITAL LETTER HARD SIGN
U+00042B	1067	CYRILLIC CAPITAL LETTER YERU
U+00042C	1068	CYRILLIC CAPITAL LETTER SOFT SIGN
U+00042D	1069	CYRILLIC CAPITAL LETTER E
U+00042E	1070	CYRILLIC CAPITAL LETTER YU
U+00042F	1071	CYRILLIC CAPITAL LETTER YA
U+000460	1120	CYRILLIC CAPITAL LETTER OMEGA
U+000462	1122	CYRILLIC CAPITAL LETTER YAT
U+000464	1124	CYRILLIC CAPITAL LETTER IOTIFIED E
U+000466	1126	CYRILLIC CAPITAL LETTER LITTLE YUS
U+000468	1128	CYRILLIC CAPITAL LETTER IOTIFIED LITTLE YUS
U+00046A	1130	CYRILLIC CAPITAL LETTER BIG YUS
U+00046C	1132	CYRILLIC CAPITAL LETTER IOTIFIED BIG YUS
U+00046E	1134	CYRILLIC CAPITAL LETTER KSI
U+000470	1136	CYRILLIC CAPITAL LETTER PSI
U+000472	1138	CYRILLIC CAPITAL LETTER FITA
U+000474	1140	CYRILLIC CAPITAL LETTER IZHITSA
U+000476	1142	CYRILLIC CAPITAL LETTER IZHITSA WITH DOUBLE GRAVE ACCENT
U+000478	1144	CYRILLIC CAPITAL LETTER UK
U+00047A	1146	CYRILLIC CAPITAL LETTER ROUND OMEGA
U+00047C	1148	CYRILLIC CAPITAL LETTER OMEGA WITH TITLO
U+00047E	1150	CYRILLIC CAPITAL LETTER OT
U+000480	1152	CYRILLIC CAPITAL LETTER KOPPA
U+00048A	1162	CYRILLIC CAPITAL LETTER SHORT I WITH TAIL
U+00048C	1164	CYRILLIC CAPITAL LETTER SEMISOFT SIGN
U+00048E	1166	CYRILLIC CAPITAL LETTER ER WITH TICK
U+000490	1168	CYRILLIC CAPITAL LETTER GHE WITH UPTURN
U+000492	1170	CYRILLIC CAPITAL LETTER GHE WITH STROKE
U+000494	1172	CYRILLIC CAPITAL LETTER GHE WITH MIDDLE HOOK
U+000496	1174	CYRILLIC CAPITAL LETTER ZHE WITH DESCENDER
U+000498	1176	CYRILLIC CAPITAL LETTER ZE WITH DESCENDER
U+00049A	1178	CYRILLIC CAPITAL LETTER KA WITH DESCENDER
U+00049C	1180	CYRILLIC CAPITAL LETTER KA WITH VERTICAL STROKE
U+00049E	1182	CYRILLIC CAPITAL LETTER KA WITH STROKE
U+0004A0	1184	CYRILLIC CAPITAL LETTER BASHKIR KA
U+0004A2	1186	CYRILLIC CAPITAL LETTER EN WITH DESCENDER
U+0004A4	1188	CYRILLIC CAPITAL LIGATURE EN GHE
U+0004A6	1190	CYRILLIC CAPITAL LETTER PE WITH MIDDLE HOOK
U+0004A8	1192	CYRILLIC CAPITAL LETTER ABKHASIAN HA
U+0004AA	1194	CYRILLIC CAPITAL LETTER ES WITH DESCENDER
U+0004AC	1196	CYRILLIC CAPITAL LETTER TE WITH DESCENDER
U+0004AE	1198	CYRILLIC CAPITAL LETTER STRAIGHT U
U+0004B0	1200	CYRILLIC CAPITAL LETTER STRAIGHT U WITH STROKE
U+0004B2	1202	CYRILLIC CAPITAL LETTER HA WITH DESCENDER
U+0004B4	1204	CYRILLIC CAPITAL LIGATURE TE TSE
U+0004B6	1206	CYRILLIC CAPITAL LETTER CHE WITH DESCENDER
U+0004B8	1208	CYRILLIC CAPITAL LETTER CHE WITH VERTICAL STROKE
U+0004BA	1210	CYRILLIC CAPITAL LETTER SHHA
U+0004BC	1212	CYRILLIC CAPITAL LETTER ABKHASIAN CHE
U+0004BE	1214	CYRILLIC CAPITAL LETTER ABKHASIAN CHE WITH DESCENDER
U+0004C0	1216	CYRILLIC LETTER PALOCHKA
U+0004C1	1217	CYRILLIC CAPITAL LETTER ZHE WITH BREVE
U+0004C3	1219	CYRILLIC CAPITAL LETTER KA WITH HOOK
U+0004C5	1221	CYRILLIC CAPITAL LETTER EL WITH TAIL
U+0004C7	1223	CYRILLIC CAPITAL LETTER EN WITH HOOK
U+0004C9	1225	CYRILLIC CAPITAL LETTER EN WITH TAIL
U+0004CB	1227	CYRILLIC CAPITAL LETTER KHAKASSIAN CHE
U+0004CD	1229	CYRILLIC CAPITAL LETTER EM WITH TAIL
U+0004D0	1232	CYRILLIC CAPITAL LETTER A WITH BREVE
U+0004D2	1234	CYRILLIC CAPITAL LETTER A WITH DIAERESIS
U+0004D4	1236	CYRILLIC CAPITAL LIGATURE A IE
U+0004D6	1238	CYRILLIC CAPITAL LETTER IE WITH BREVE
U+0004D8	1240	CYRILLIC CAPITAL LETTER SCHWA
U+0004DA	1242	CYRILLIC CAPITAL LETTER SCHWA WITH DIAERESIS
U+0004DC	1244	CYRILLIC CAPITAL LETTER ZHE WITH DIAERESIS
U+0004DE	1246	CYRILLIC CAPITAL LETTER ZE WITH DIAERESIS
U+0004E0	1248	CYRILLIC CAPITAL LETTER ABKHASIAN DZE
U+0004E2	1250	CYRILLIC CAPITAL LETTER I WITH MACRON
U+0004E4	1252	CYRILLIC CAPITAL LETTER I WITH DIAERESIS
U+0004E6	1254	CYRILLIC CAPITAL LETTER O WITH DIAERESIS
U+0004E8	1256	CYRILLIC CAPITAL LETTER BARRED O
U+0004EA	1258	CYRILLIC CAPITAL LETTER BARRED O WITH DIAERESIS
U+0004EC	1260	CYRILLIC CAPITAL LETTER E WITH DIAERESIS
U+0004EE	1262	CYRILLIC CAPITAL LETTER U WITH MACRON
U+0004F0	1264	CYRILLIC CAPITAL LETTER U WITH DIAERESIS
U+0004F2	1266	CYRILLIC CAPITAL LETTER U WITH DOUBLE ACUTE
U+0004F4	1268	CYRILLIC CAPITAL LETTER CHE WITH DIAERESIS
U+0004F6	1270	CYRILLIC CAPITAL LETTER GHE WITH DESCENDER
U+0004F8	1272	CYRILLIC CAPITAL LETTER YERU WITH DIAERESIS
U+0004FA	1274	CYRILLIC CAPITAL LETTER GHE WITH STROKE AND HOOK
U+0004FC	1276	CYRILLIC CAPITAL LETTER HA WITH HOOK
U+0004FE	1278	CYRILLIC CAPITAL LETTER HA WITH STROKE
U+000500	1280	CYRILLIC CAPITAL LETTER KOMI DE
U+000502	1282	CYRILLIC CAPITAL LETTER KOMI DJE
U+000504	1284	CYRILLIC CAPITAL LETTER KOMI ZJE
U+000506	1286	CYRILLIC CAPITAL LETTER KOMI DZJE
U+000508	1288	CYRILLIC CAPITAL LETTER KOMI LJE
U+00050A	1290	CYRILLIC CAPITAL LETTER KOMI NJE
U+00050C	1292	CYRILLIC CAPITAL LETTER KOMI SJE
U+00050E	1294	CYRILLIC CAPITAL LETTER KOMI TJE
U+000510	1296	CYRILLIC CAPITAL LETTER REVERSED ZE
U+000512	1298	CYRILLIC CAPITAL LETTER EL WITH HOOK
U+000514	1300	CYRILLIC CAPITAL LETTER LHA
U+000516	1302	CYRILLIC CAPITAL LETTER RHA
U+000518	1304	CYRILLIC CAPITAL LETTER YAE
U+00051A	1306	CYRILLIC CAPITAL LETTER QA
U+00051C	1308	CYRILLIC CAPITAL LETTER WE
U+00051E	1310	CYRILLIC CAPITAL LETTER ALEUT KA
U+000520	1312	CYRILLIC CAPITAL LETTER EL WITH MIDDLE HOOK
U+000522	1314	CYRILLIC CAPITAL LETTER EN WITH MIDDLE HOOK
U+000524	1316	CYRILLIC CAPITAL LETTER PE WITH DESCENDER
U+000526	1318	CYRILLIC CAPITAL LETTER SHHA WITH DESCENDER
U+000528	1320	CYRILLIC CAPITAL LETTER EN WITH LEFT HOOK
U+00052A	1322	CYRILLIC CAPITAL LETTER DZZHE
U+00052C	1324	CYRILLIC CAPITAL LETTER DCHE
U+00052E	1326	CYRILLIC CAPITAL LETTER EL WITH DESCENDER
U+000531	1329	ARMENIAN CAPITAL LETTER AYB
U+000532	1330	ARMENIAN CAPITAL LETTER BEN
