Hex	Decimal	Name
U+0002A0	672	LATIN SMALL LETTER Q WITH HOOK
U+0002A1	673	LATIN LETTER GLOTTAL STOP WITH STROKE
U+0002A2	674	LATIN LETTER REVERSED GLOTTAL STOP WITH STROKE
U+0002A3	675	LATIN SMALL LETTER DZ DIGRAPH
U+0002A4	676	LATIN SMALL LETTER DEZH DIGRAPH
U+0002A5	677	LATIN SMALL LETTER DZ DIGRAPH WITH CURL
U+0002A6	678	LATIN SMALL LETTER TS DIGRAPH
U+0002A7	679	LATIN SMALL LETTER TESH DIGRAPH
U+0002A8	680	LATIN SMALL LETTER TC DIGRAPH WITH CURL
U+0002A9	681	LATIN SMALL LETTER FENG DIGRAPH
U+0002AA	682	LATIN SMALL LETTER LS DIGRAPH
U+0002AB	683	LATIN SMALL LETTER LZ DIGRAPH
U+0002AC	684	LATIN LETTER BILABIAL PERCUSSIVE
U+0002AD	685	LATIN LETTER BIDENTAL PERCUSSIVE
U+0002AE	686	LATIN SMALL LETTER TURNED H WITH FISHHOOK
U+0002AF	687	LATIN SMALL LETTER TURNED H WITH FISHHOOK AND TAIL
U+000371	881	GREEK SMALL LETTER HETA
U+000373	883	GREEK SMALL LETTER ARCHAIC SAMPI
U+000377	887	GREEK SMALL LETTER PAMPHYLIAN DIGAMMA
U+00037B	891	GREEK SMALL REVERSED LUNATE SIGMA SYMBOL
U+00037C	892	GREEK SMALL DOTTED LUNATE SIGMA SYMBOL
U+00037D	893	GREEK SMALL REVERSED DOTTED LUNATE SIGMA SYMBOL
U+000390	912	GREEK SMALL LETTER IOTA WITH DIALYTIKA AND TONOS
U+0003AC	940	GREEK SMALL LETTER ALPHA WITH TONOS
U+0003AD	941	GREEK SMALL LETTER EPSILON WITH TONOS
U+0003AE	942	GREEK SMALL LETTER ETA WITH TONOS
U+0003AF	943	GREEK SMALL LETTER IOTA WITH TONOS
U+0003B0	944	GREEK SMALL LETTER UPSILON WITH DIALYTIKA AND TONOS
U+0003B1	945	GREEK SMALL LETTER ALPHA
U+0003B2	946	GREEK SMALL LETTER BETA
U+0003B3	947	GREEK SMALL LETTER GAMMA
U+0003B4	948	GREEK SMALL LETTER DELTA
U+0003B5	949	GREEK SMALL LETTER EPSILON
U+0003B6	950	GREEK SMALL LETTER ZETA
U+0003B7	951	GREEK SMALL LETTER ETA
U+0003B8	952	GREEK SMALL LETTER THETA
U+0003B9	953	GREEK SMALL LETTER IOTA
U+0003BA	954	GREEK SMALL LETTER KAPPA
U+0003BB	955	GREEK SMALL LETTER LAMDA
U+0003BC	956	GREEK SMALL LETTER MU
U+0003BD	957	GREEK SMALL LETTER NU
U+0003BE	958	GREEK SMALL LETTER XI
U+0003BF	959	GREEK SMALL LETTER OMICRON
U+0003C0	960	GREEK SMALL LETTER PI
U+0003C1	961	GREEK SMALL LETTER RHO
U+0003C2	962	GREEK SMALL LETTER FINAL SIGMA
U+0003C3	963	GREEK SMALL LETTER SIGMA
U+0003C4	964	GREEK SMALL LETTER TAU
U+0003C5	965	GREEK SMALL LETTER UPSILON
U+0003C6	966	GREEK SMALL LETTER PHI
U+0003C7	967	GREEK SMALL LETTER CHI
U+0003C8	968	GREEK SMALL LETTER PSI
U+0003C9	969	GREEK SMALL LETTER OMEGA
U+0003CA	970	GREEK SMALL LETTER IOTA WITH DIALYTIKA
U+0003CB	971	GREEK SMALL LETTER UPSILON WITH DIALYTIKA
U+0003CC	972	GREEK SMALL LETTER OMICRON WITH TONOS
U+0003CD	973	GREEK SMALL LETTER UPSILON WITH TONOS
U+0003CE	974	GREEK SMALL LETTER OMEGA WITH TONOS
U+0003D0	976	GREEK BETA SYMBOL
U+0003D1	977	GREEK THETA SYMBOL
